state,name,under_age_18_poverty,under_age_5_poverty,age_5_to_17_poverty,age_18_to_64_poverty,age_18_to_34_poverty,age_35_to_64_poverty,age_60_and_older_poverty,age_65_and_older_poverty,male,female,white_alone,black_or_african_american,american_indian_and_alaska_native ,asian,native_hawaiian_pacific_islander,some_other_race_alone,two_or_more_races,hispanic_or_latino_origin,white_alone_not_hispanic_or_latino,pop_25_years_over,less_than_hs_graduate,hs_graduate,some_college_or_associate,bachelor_or_higher
California,Alameda County,0.113,0.114,0.112,0.096,0.132,0.074,0.093,0.095,0.089,0.108,0.077,0.200,0.150,0.079,0.091,0.144,0.089,0.125,0.067,0.083,0.191,0.110,0.092,0.042
California,Alpine County,0.274,0.477,0.217,0.264,0.425,0.209,0.094,0.035,0.220,0.171,0.085,1.000,0.340,1.000,0.000,0.000,0.283,0.508,0.056,0.144,0.456,0.176,0.182,0.008
California,Amador County,0.136,0.078,0.157,0.107,0.116,0.104,0.076,0.064,0.087,0.111,0.091,0.371,0.327,0.220,0.000,0.066,0.219,0.090,0.091,0.091,0.134,0.110,0.083,0.069
California,Butte County,0.196,0.219,0.188,0.216,0.314,0.142,0.105,0.097,0.181,0.200,0.180,0.332,0.162,0.276,0.167,0.167,0.260,0.206,0.175,0.143,0.251,0.169,0.153,0.066
California,Calaveras County,0.195,0.140,0.213,0.121,0.140,0.114,0.071,0.051,0.112,0.117,0.111,0.036,0.040,0.049,0.643,0.222,0.185,0.149,0.104,0.094,0.181,0.117,0.085,0.035
California,Colusa County,0.191,0.199,0.188,0.111,0.124,0.102,0.098,0.095,0.118,0.144,0.129,0.181,0.027,0.257,0.000,0.147,0.094,0.117,0.148,0.107,0.122,0.113,0.125,0.029
California,Contra Costa County,0.109,0.118,0.106,0.085,0.112,0.071,0.066,0.064,0.079,0.095,0.065,0.164,0.081,0.062,0.051,0.164,0.113,0.130,0.053,0.073,0.179,0.112,0.070,0.034
California,Del Norte County,0.255,0.215,0.268,0.202,0.243,0.184,0.126,0.099,0.176,0.212,0.150,0.234,0.296,0.592,0.000,0.239,0.325,0.192,0.150,0.159,0.257,0.186,0.147,0.054
California,El Dorado County,0.096,0.086,0.099,0.089,0.109,0.081,0.067,0.057,0.074,0.094,0.080,0.185,0.161,0.055,0.249,0.123,0.134,0.129,0.075,0.077,0.157,0.102,0.082,0.042
California,Fresno County,0.322,0.360,0.308,0.198,0.230,0.175,0.133,0.128,0.210,0.241,0.209,0.353,0.280,0.198,0.320,0.281,0.192,0.281,0.118,0.173,0.325,0.185,0.133,0.053
California,Glenn County,0.216,0.250,0.203,0.162,0.187,0.147,0.147,0.156,0.149,0.201,0.153,0.237,0.353,0.309,0.000,0.235,0.338,0.192,0.143,0.151,0.194,0.170,0.144,0.053
California,Humboldt County,0.208,0.212,0.207,0.228,0.321,0.166,0.109,0.097,0.193,0.209,0.173,0.498,0.366,0.337,0.571,0.322,0.217,0.246,0.171,0.168,0.312,0.205,0.168,0.097
California,Imperial County,0.322,0.337,0.316,0.209,0.232,0.193,0.199,0.193,0.218,0.262,0.235,0.349,0.413,0.116,0.334,0.254,0.214,0.257,0.128,0.196,0.325,0.209,0.137,0.059
California,Inyo County,0.118,0.146,0.107,0.096,0.117,0.088,0.073,0.062,0.098,0.088,0.090,0.107,0.115,0.018,0.647,0.090,0.099,0.157,0.068,0.082,0.155,0.124,0.046,0.053
California,Kern County,0.291,0.313,0.283,0.186,0.204,0.172,0.135,0.123,0.189,0.231,0.202,0.351,0.255,0.140,0.357,0.228,0.208,0.249,0.142,0.169,0.278,0.183,0.134,0.045
California,Kings County,0.255,0.259,0.253,0.157,0.188,0.133,0.112,0.117,0.167,0.197,0.176,0.235,0.178,0.098,0.553,0.225,0.143,0.237,0.099,0.144,0.278,0.143,0.102,0.035
California,Lake County,0.238,0.222,0.245,0.196,0.209,0.190,0.132,0.112,0.166,0.205,0.160,0.317,0.342,0.230,0.361,0.266,0.223,0.227,0.160,0.168,0.303,0.173,0.158,0.063
California,Lassen County,0.167,0.122,0.187,0.147,0.213,0.116,0.078,0.066,0.128,0.142,0.125,0.163,0.378,0.109,0.286,0.185,0.078,0.193,0.120,0.115,0.191,0.169,0.094,0.060
California,Los Angeles County,0.208,0.206,0.208,0.133,0.148,0.123,0.130,0.132,0.137,0.161,0.135,0.208,0.181,0.111,0.115,0.192,0.117,0.181,0.096,0.125,0.225,0.151,0.105,0.060
California,Madera County,0.295,0.310,0.290,0.177,0.202,0.160,0.108,0.096,0.178,0.220,0.175,0.242,0.217,0.125,0.000,0.288,0.211,0.250,0.115,0.155,0.265,0.147,0.102,0.077
California,Marin County,0.081,0.096,0.076,0.075,0.120,0.060,0.063,0.056,0.064,0.080,0.051,0.168,0.221,0.082,0.651,0.232,0.065,0.169,0.048,0.063,0.239,0.102,0.069,0.036
California,Mariposa County,0.267,0.355,0.238,0.170,0.187,0.163,0.070,0.048,0.143,0.161,0.139,0.626,0.271,0.241,0.000,0.106,0.233,0.186,0.131,0.127,0.197,0.122,0.146,0.072
California,Mendocino County,0.254,0.343,0.221,0.180,0.217,0.162,0.120,0.097,0.160,0.196,0.162,0.339,0.232,0.169,0.000,0.285,0.307,0.245,0.140,0.148,0.249,0.171,0.143,0.079
California,Merced County,0.298,0.323,0.289,0.188,0.233,0.154,0.119,0.110,0.192,0.232,0.185,0.243,0.260,0.211,0.044,0.263,0.201,0.246,0.140,0.157,0.218,0.162,0.137,0.056
California,Modoc County,0.222,0.207,0.228,0.185,0.168,0.193,0.157,0.170,0.189,0.187,0.168,0.490,0.272,0.727,-,0.539,0.298,0.250,0.158,0.174,0.440,0.129,0.124,0.137
California,Mono County,0.184,0.462,0.119,0.113,0.128,0.103,0.081,0.075,0.114,0.128,0.120,0.380,0.246,0.249,-,0.043,0.008,0.193,0.089,0.105,0.251,0.107,0.085,0.070
California,Monterey County,0.194,0.197,0.193,0.113,0.136,0.098,0.084,0.081,0.121,0.141,0.107,0.156,0.114,0.102,0.110,0.177,0.086,0.165,0.072,0.099,0.165,0.100,0.082,0.043
California,Napa County,0.081,0.073,0.083,0.076,0.082,0.073,0.076,0.079,0.076,0.079,0.067,0.180,0.142,0.049,0.140,0.134,0.111,0.103,0.060,0.073,0.158,0.110,0.062,0.032
California,Nevada County,0.124,0.117,0.127,0.125,0.158,0.112,0.080,0.071,0.098,0.123,0.110,0.129,0.098,0.054,0.194,0.151,0.113,0.165,0.105,0.101,0.244,0.144,0.102,0.058
California,Orange County,0.142,0.138,0.144,0.101,0.131,0.083,0.089,0.092,0.099,0.118,0.095,0.138,0.132,0.112,0.147,0.179,0.075,0.152,0.071,0.088,0.192,0.117,0.074,0.048
California,Placer County,0.080,0.060,0.085,0.077,0.099,0.066,0.080,0.077,0.073,0.081,0.076,0.080,0.171,0.059,0.127,0.138,0.076,0.133,0.069,0.071,0.203,0.103,0.077,0.035
California,Plumas County,0.084,0.126,0.070,0.167,0.222,0.148,0.084,0.050,0.114,0.128,0.105,0.134,0.348,0.608,0.000,0.135,0.312,0.125,0.105,0.116,0.298,0.124,0.094,0.111
California,Riverside County,0.182,0.193,0.179,0.126,0.139,0.117,0.110,0.105,0.124,0.149,0.120,0.175,0.208,0.113,0.130,0.182,0.114,0.167,0.093,0.116,0.214,0.128,0.092,0.058
California,Sacramento County,0.198,0.212,0.193,0.137,0.167,0.119,0.106,0.100,0.142,0.152,0.122,0.222,0.221,0.145,0.144,0.207,0.177,0.181,0.107,0.121,0.248,0.164,0.111,0.051
California,San Benito County,0.127,0.114,0.131,0.073,0.067,0.076,0.053,0.053,0.078,0.091,0.085,0.070,0.018,0.013,0.000,0.123,0.065,0.105,0.057,0.072,0.127,0.071,0.065,0.032
California,San Bernardino County,0.229,0.241,0.224,0.139,0.158,0.125,0.113,0.109,0.147,0.172,0.151,0.219,0.191,0.107,0.185,0.180,0.163,0.181,0.115,0.128,0.228,0.143,0.107,0.049
California,San Diego County,0.147,0.148,0.146,0.111,0.139,0.092,0.091,0.089,0.107,0.124,0.110,0.189,0.165,0.100,0.137,0.165,0.108,0.156,0.084,0.095,0.207,0.128,0.090,0.047
California,San Francisco County,0.100,0.074,0.113,0.097,0.107,0.089,0.131,0.136,0.097,0.110,0.078,0.287,0.166,0.098,0.165,0.161,0.099,0.135,0.072,0.092,0.208,0.147,0.118,0.049
California,San Joaquin County,0.199,0.217,0.192,0.130,0.143,0.122,0.102,0.099,0.135,0.155,0.133,0.223,0.148,0.119,0.153,0.170,0.175,0.179,0.097,0.121,0.211,0.139,0.088,0.055
California,San Luis Obispo County,0.101,0.097,0.103,0.151,0.257,0.082,0.075,0.068,0.119,0.131,0.119,0.268,0.055,0.169,0.000,0.174,0.137,0.135,0.117,0.082,0.162,0.112,0.085,0.044
California,San Mateo County,0.074,0.071,0.075,0.065,0.084,0.056,0.065,0.065,0.061,0.073,0.060,0.113,0.236,0.049,0.113,0.128,0.065,0.113,0.049,0.059,0.148,0.091,0.062,0.030
California,Santa Barbara County,0.156,0.148,0.159,0.142,0.207,0.091,0.078,0.077,0.125,0.146,0.125,0.224,0.194,0.180,0.192,0.170,0.144,0.154,0.108,0.091,0.172,0.098,0.089,0.044
California,Santa Clara County,0.077,0.068,0.081,0.073,0.095,0.060,0.079,0.081,0.067,0.083,0.065,0.117,0.113,0.068,0.083,0.134,0.077,0.110,0.053,0.064,0.152,0.100,0.067,0.034
California,Santa Cruz County,0.140,0.143,0.139,0.142,0.217,0.095,0.085,0.077,0.121,0.141,0.123,0.205,0.165,0.194,0.204,0.163,0.102,0.167,0.106,0.099,0.195,0.141,0.105,0.046
California,Shasta County,0.229,0.278,0.211,0.171,0.218,0.145,0.101,0.091,0.158,0.175,0.160,0.169,0.171,0.235,0.141,0.242,0.227,0.253,0.152,0.138,0.296,0.161,0.126,0.071
California,Sierra County,0.131,0.024,0.167,0.096,0.076,0.102,0.067,0.080,0.093,0.100,0.090,1.000,0.471,-,-,-,0.042,0.074,0.092,0.093,0.290,0.141,0.062,0.002
California,Siskiyou County,0.244,0.232,0.248,0.204,0.238,0.190,0.120,0.107,0.176,0.200,0.169,0.393,0.301,0.246,0.184,0.243,0.304,0.293,0.159,0.165,0.344,0.198,0.154,0.073
California,Solano County,0.133,0.144,0.129,0.088,0.108,0.077,0.070,0.069,0.089,0.102,0.076,0.169,0.197,0.063,0.135,0.135,0.110,0.109,0.072,0.078,0.153,0.103,0.074,0.033
California,Sonoma County,0.107,0.104,0.108,0.094,0.120,0.081,0.071,0.070,0.084,0.100,0.079,0.177,0.119,0.090,0.148,0.148,0.103,0.121,0.077,0.081,0.166,0.107,0.077,0.045
California,Stanislaus County,0.204,0.222,0.197,0.137,0.153,0.126,0.112,0.107,0.137,0.165,0.148,0.194,0.185,0.131,0.123,0.162,0.181,0.179,0.119,0.126,0.219,0.134,0.100,0.046
California,Sutter County,0.213,0.227,0.208,0.143,0.166,0.129,0.097,0.100,0.142,0.167,0.156,0.079,0.173,0.116,0.161,0.240,0.189,0.231,0.114,0.127,0.228,0.142,0.094,0.057
California,Tehama County,0.328,0.336,0.326,0.213,0.249,0.195,0.119,0.110,0.208,0.233,0.200,0.217,0.547,0.249,0.000,0.388,0.268,0.316,0.176,0.175,0.253,0.209,0.169,0.049
California,Trinity County,0.262,0.394,0.213,0.218,0.345,0.179,0.084,0.089,0.184,0.197,0.200,0.020,0.089,0.574,0.000,0.070,0.004,0.205,0.195,0.163,0.384,0.160,0.179,0.056
California,Tulare County,0.317,0.324,0.314,0.215,0.237,0.199,0.151,0.137,0.225,0.250,0.229,0.255,0.280,0.203,0.388,0.286,0.196,0.294,0.122,0.195,0.332,0.206,0.124,0.051
California,Tuolumne County,0.141,0.151,0.137,0.139,0.164,0.129,0.093,0.094,0.112,0.143,0.120,0.184,0.366,0.019,0.050,0.056,0.249,0.205,0.112,0.124,0.208,0.153,0.130,0.043
California,Ventura County,0.121,0.120,0.122,0.082,0.098,0.073,0.072,0.070,0.081,0.098,0.089,0.111,0.236,0.054,0.048,0.141,0.066,0.126,0.062,0.074,0.155,0.102,0.062,0.034
California,Yolo County,0.158,0.144,0.163,0.222,0.353,0.098,0.091,0.084,0.174,0.207,0.151,0.319,0.205,0.345,0.074,0.254,0.205,0.196,0.135,0.106,0.213,0.134,0.113,0.056
